doc_number,token,freq,max_freq,n,N,log_factor,poids
1,10,1,1,3,6,0.47712125471966244,0.47712125471966244
1,18,1,1,1,6,0.8450980400142568,0.8450980400142568
1,24,1,1,1,6,0.8450980400142568,0.8450980400142568
1,5,1,1,1,6,0.8450980400142568,0.8450980400142568
1,9,1,1,1,6,0.8450980400142568,0.8450980400142568
1,abil,1,1,2,6,0.6020599913279624,0.6020599913279624
1,align,1,1,1,6,0.8450980400142568,0.8450980400142568
1,approach,1,1,4,6,0.3979400086720376,0.3979400086720376
1,art,1,1,3,6,0.47712125471966244,0.47712125471966244
1,base,1,1,6,6,0.3010299956639812,0.3010299956639812
1,benchmark,1,1,4,6,0.3979400086720376,0.3979400086720376
1,benefit,1,1,1,6,0.8450980400142568,0.8450980400142568
1,better,1,1,1,6,0.8450980400142568,0.8450980400142568
1,context,1,1,1,6,0.8450980400142568,0.8450980400142568
1,document,1,1,3,6,0.47712125471966244,0.47712125471966244
1,due,1,1,1,6,0.8450980400142568,0.8450980400142568
1,ensembl,1,1,1,6,0.8450980400142568,0.8450980400142568
1,evalu,1,1,3,6,0.47712125471966244,0.47712125471966244
1,experi,1,1,3,6,0.47712125471966244,0.47712125471966244
1,exploit,1,1,1,6,0.8450980400142568,0.8450980400142568
1,feedback,1,1,2,6,0.6020599913279624,0.6020599913279624
1,find,1,1,2,6,0.6020599913279624,0.6020599913279624
1,four,1,1,1,6,0.8450980400142568,0.8450980400142568
1,gain,1,1,1,6,0.8450980400142568,0.8450980400142568
1,gener,1,1,4,6,0.3979400086720376,0.3979400086720376
1,genqrensembl,1,1,1,6,0.8450980400142568,0.8450980400142568
1,genqrensemblerf,1,1,1,6,0.8450980400142568,0.8450980400142568
1,help,1,1,1,6,0.8450980400142568,0.8450980400142568
1,improv,1,1,4,6,0.3979400086720376,0.3979400086720376
1,incorpor,1,1,1,6,0.8450980400142568,0.8450980400142568
1,inher,1,1,1,6,0.8450980400142568,0.8450980400142568
1,inspir,1,1,2,6,0.6020599913279624,0.6020599913279624
1,instruct,1,1,2,6,0.6020599913279624,0.6020599913279624
1,intent,1,1,2,6,0.6020599913279624,0.6020599913279624
1,introduc,1,1,2,6,0.6020599913279624,0.6020599913279624
1,investig,1,1,1,6,0.8450980400142568,0.8450980400142568
1,ir,1,1,2,6,0.6020599913279624,0.6020599913279624
1,keyword,1,1,1,6,0.8450980400142568,0.8450980400142568
1,knowledg,1,1,1,6,0.8450980400142568,0.8450980400142568
1,languag,1,1,6,6,0.3010299956639812,0.3010299956639812
1,larg,1,1,6,6,0.3010299956639812,0.3010299956639812
1,leverag,1,1,3,6,0.47712125471966244,0.47712125471966244
1,mani,1,1,1,6,0.8450980400142568,0.8450980400142568
1,map,1,1,1,6,0.8450980400142568,0.8450980400142568
1,model,1,1,6,6,0.3010299956639812,0.3010299956639812
1,mrr,1,1,2,6,0.6020599913279624,0.6020599913279624
1,msmarco,1,1,1,6,0.8450980400142568,0.8450980400142568
1,multipl,1,1,3,6,0.47712125471966244,0.47712125471966244
1,ndcg,1,1,4,6,0.3979400086720376,0.3979400086720376
1,origin,1,1,1,6,0.8450980400142568,0.8450980400142568
1,paraphras,1,1,1,6,0.8450980400142568,0.8450980400142568
1,passag,1,1,1,6,0.8450980400142568,0.8450980400142568
1,perform,1,1,3,6,0.47712125471966244,0.47712125471966244
1,post,1,1,1,6,0.8450980400142568,0.8450980400142568
1,previou,1,1,3,6,0.47712125471966244,0.47712125471966244
1,promis,1,1,2,6,0.6020599913279624,0.6020599913279624
1,prompt,1,1,5,6,0.3424226808222063,0.3424226808222063
1,propos,1,1,5,6,0.3424226808222063,0.3424226808222063
1,pseudo,1,1,1,6,0.8450980400142568,0.8450980400142568
1,qr,1,1,1,6,0.8450980400142568,0.8450980400142568
1,queri,1,1,4,6,0.3979400086720376,0.3979400086720376
1,rank,1,1,3,6,0.47712125471966244,0.47712125471966244
1,recent,1,1,4,6,0.3979400086720376,0.3979400086720376
1,reformul,1,1,2,6,0.6020599913279624,0.6020599913279624
1,rel,1,1,1,6,0.8450980400142568,0.8450980400142568
1,relev,1,1,1,6,0.8450980400142568,0.8450980400142568
1,retriev,1,1,2,6,0.6020599913279624,0.6020599913279624
1,search,1,1,3,6,0.47712125471966244,0.47712125471966244
1,set,1,1,3,6,0.47712125471966244,0.47712125471966244
1,shot,1,1,2,6,0.6020599913279624,0.6020599913279624
1,show,1,1,2,6,0.6020599913279624,0.6020599913279624
1,shown,1,1,1,6,0.8450980400142568,0.8450980400142568
1,state,1,1,3,6,0.47712125471966244,0.47712125471966244
1,strategi,1,1,4,6,0.3979400086720376,0.3979400086720376
1,success,1,1,2,6,0.6020599913279624,0.6020599913279624
1,take,1,1,3,6,0.47712125471966244,0.47712125471966244
1,task,1,1,5,6,0.3424226808222063,0.3424226808222063
1,techniqu,1,1,4,6,0.3979400086720376,0.3979400086720376
1,text,1,1,3,6,0.47712125471966244,0.47712125471966244
1,transform,1,1,1,6,0.8450980400142568,0.8450980400142568
1,ultim,1,1,1,6,0.8450980400142568,0.8450980400142568
1,upto,1,1,1,6,0.8450980400142568,0.8450980400142568
1,use,1,1,5,6,0.3424226808222063,0.3424226808222063
1,user,1,1,4,6,0.3979400086720376,0.3979400086720376
1,variant,1,1,2,6,0.6020599913279624,0.6020599913279624
1,zero,1,1,1,6,0.8450980400142568,0.8450980400142568
2,10,1,1,3,6,0.47712125471966244,0.47712125471966244
2,175,1,1,1,6,0.8450980400142568,0.8450980400142568
2,20,1,1,1,6,0.8450980400142568,0.8450980400142568
2,2019,1,1,1,6,0.8450980400142568,0.8450980400142568
2,2020,1,1,1,6,0.8450980400142568,0.8450980400142568
2,4,1,1,1,6,0.8450980400142568,0.8450980400142568
2,4.2,1,1,1,6,0.8450980400142568,0.8450980400142568
2,50,1,1,1,6,0.8450980400142568,0.8450980400142568
2,achiev,1,1,3,6,0.47712125471966244,0.47712125471966244
2,analyz,1,1,1,6,0.8450980400142568,0.8450980400142568
2,approach,1,1,4,6,0.3979400086720376,0.3979400086720376
2,argu,1,1,1,6,0.8450980400142568,0.8450980400142568
2,art,1,1,3,6,0.47712125471966244,0.47712125471966244
2,averag,1,1,1,6,0.8450980400142568,0.8450980400142568
2,b,1,1,1,6,0.8450980400142568,0.8450980400142568
2,base,1,1,6,6,0.3010299956639812,0.3010299956639812
2,baselin,1,1,1,6,0.8450980400142568,0.8450980400142568
2,beir,1,1,2,6,0.6020599913279624,0.6020599913279624
2,benchmark,1,1,4,6,0.3979400086720376,0.3979400086720376
2,best,1,1,1,6,0.8450980400142568,0.8450980400142568
2,blackbox,1,1,1,6,0.8450980400142568,0.8450980400142568
2,burden,1,1,1,6,0.8450980400142568,0.8450980400142568
2,call,1,1,1,6,0.8450980400142568,0.8450980400142568
2,candid,1,1,1,6,0.8450980400142568,0.8450980400142568
2,challeng,1,1,1,6,0.8450980400142568,0.8450980400142568
2,chatgpt,1,1,1,6,0.8450980400142568,0.8450980400142568
2,commerci,1,1,1,6,0.8450980400142568,0.8450980400142568
2,competit,1,1,1,6,0.8450980400142568,0.8450980400142568
2,complex,1,1,2,6,0.6020599913279624,0.6020599913279624
2,dataset,1,1,4,6,0.3979400086720376,0.3979400086720376
2,difficult,1,1,1,6,0.8450980400142568,0.8450980400142568
2,directli,1,1,1,6,0.8450980400142568,0.8450980400142568
2,dl,1,1,1,6,0.8450980400142568,0.8450980400142568
2,document,1,1,3,6,0.47712125471966244,0.47712125471966244
2,effici,1,1,2,6,0.6020599913279624,0.6020599913279624
2,estim,1,1,1,6,0.8450980400142568,0.8450980400142568
2,even,1,1,1,6,0.8450980400142568,0.8450980400142568
2,exist,1,1,1,6,0.8450980400142568,0.8450980400142568
2,favor,1,1,1,6,0.8450980400142568,0.8450980400142568
2,feed,1,1,1,6,0.8450980400142568,0.8450980400142568
2,fine,1,1,3,6,0.47712125471966244,0.47712125471966244
2,first,1,1,3,6,0.47712125471966244,0.47712125471966244
2,flan,1,1,1,6,0.8450980400142568,0.8450980400142568
2,formul,1,1,1,6,0.8450980400142568,0.8450980400142568
2,found,1,1,1,6,0.8450980400142568,0.8450980400142568
2,fulli,1,1,1,6,0.8450980400142568,0.8450980400142568
2,furthermor,1,1,2,6,0.6020599913279624,0.6020599913279624
2,gpt,1,1,2,6,0.6020599913279624,0.6020599913279624
2,howev,1,1,1,6,0.8450980400142568,0.8450980400142568
2,improv,1,1,4,6,0.3979400086720376,0.3979400086720376
2,instructgpt,1,1,1,6,0.8450980400142568,0.8450980400142568
2,interest,1,1,1,6,0.8450980400142568,0.8450980400142568
2,languag,1,1,6,6,0.3010299956639812,0.3010299956639812
2,larg,1,1,6,6,0.3010299956639812,0.3010299956639812
2,linear,1,1,1,6,0.8450980400142568,0.8450980400142568
2,listwis,1,1,1,6,0.8450980400142568,0.8450980400142568
2,literatur,1,1,1,6,0.8450980400142568,0.8450980400142568
2,llm,1,1,5,6,0.3424226808222063,0.3424226808222063
2,method,1,1,2,6,0.6020599913279624,0.6020599913279624
2,metric,1,1,2,6,0.6020599913279624,0.6020599913279624
2,model,1,1,6,6,0.3010299956639812,0.3010299956639812
2,moder,1,1,1,6,0.8450980400142568,0.8450980400142568
2,ndcg,1,1,4,6,0.3979400086720376,0.3979400086720376
2,new,1,1,1,6,0.8450980400142568,0.8450980400142568
2,open,1,1,2,6,0.6020599913279624,0.6020599913279624
2,outperform,1,1,1,6,0.8450980400142568,0.8450980400142568
2,pairwis,1,1,1,6,0.8450980400142568,0.8450980400142568
2,paper,1,1,4,6,0.3979400086720376,0.3979400086720376
2,paramet,1,1,1,6,0.8450980400142568,0.8450980400142568
2,perform,1,1,3,6,0.47712125471966244,0.47712125471966244
2,pointwis,1,1,1,6,0.8450980400142568,0.8450980400142568
2,possibl,1,1,1,6,0.8450980400142568,0.8450980400142568
2,practic,1,1,1,6,0.8450980400142568,0.8450980400142568
2,previou,1,1,3,6,0.47712125471966244,0.47712125471966244
2,problem,1,1,3,6,0.47712125471966244,0.47712125471966244
2,prompt,1,1,5,6,0.3424226808222063,0.3424226808222063
2,propos,1,1,5,6,0.3424226808222063,0.3424226808222063
2,prp,1,1,1,6,0.8450980400142568,0.8450980400142568
2,queri,1,1,4,6,0.3979400086720376,0.3979400086720376
2,rank,1,1,3,6,0.47712125471966244,0.47712125471966244
2,ranker,1,1,2,6,0.6020599913279624,0.6020599913279624
2,reduc,1,1,2,6,0.6020599913279624,0.6020599913279624
2,research,1,1,2,6,0.6020599913279624,0.6020599913279624
2,result,1,1,4,6,0.3979400086720376,0.3979400086720376
2,seven,1,1,1,6,0.8450980400142568,0.8450980400142568
2,sever,1,1,1,6,0.8450980400142568,0.8450980400142568
2,shelf,1,1,1,6,0.8450980400142568,0.8450980400142568
2,show,1,1,2,6,0.6020599913279624,0.6020599913279624
2,significantli,1,1,3,6,0.47712125471966244,0.47712125471966244
2,size,1,1,1,6,0.8450980400142568,0.8450980400142568
2,solut,1,1,1,6,0.8450980400142568,0.8450980400142568
2,sourc,1,1,2,6,0.6020599913279624,0.6020599913279624
2,standard,1,1,1,6,0.8450980400142568,0.8450980400142568
2,state,1,1,3,6,0.47712125471966244,0.47712125471966244
2,supervis,1,1,2,6,0.6020599913279624,0.6020599913279624
2,task,1,1,5,6,0.3424226808222063,0.3424226808222063
2,techniqu,1,1,4,6,0.3979400086720376,0.3979400086720376
2,templat,1,1,2,6,0.6020599913279624,0.6020599913279624
2,trec,1,1,1,6,0.8450980400142568,0.8450980400142568
2,tune,1,1,2,6,0.6020599913279624,0.6020599913279624
2,ul2,1,1,1,6,0.8450980400142568,0.8450980400142568
2,understand,1,1,3,6,0.47712125471966244,0.47712125471966244
2,use,1,1,5,6,0.3424226808222063,0.3424226808222063
2,variant,1,1,2,6,0.6020599913279624,0.6020599913279624
2,x,1,1,1,6,0.8450980400142568,0.8450980400142568
3,address,1,1,1,6,0.8450980400142568,0.8450980400142568
3,allow,1,1,2,6,0.6020599913279624,0.6020599913279624
3,also,1,1,2,6,0.6020599913279624,0.6020599913279624
3,although,1,1,1,6,0.8450980400142568,0.8450980400142568
3,approach,1,1,4,6,0.3979400086720376,0.3979400086720376
3,attempt,1,1,1,6,0.8450980400142568,0.8450980400142568
3,base,1,1,6,6,0.3010299956639812,0.3010299956639812
3,bridg,1,1,2,6,0.6020599913279624,0.6020599913279624
3,capabl,1,1,1,6,0.8450980400142568,0.8450980400142568
3,commun,1,1,1,6,0.8450980400142568,0.8450980400142568
3,contain,1,1,1,6,0.8450980400142568,0.8450980400142568
3,continu,1,1,1,6,0.8450980400142568,0.8450980400142568
